name,category,cost
Espresso,Drink,0.3
Long Black,Drink,0.3
White,Drink,0.3
Chocolate,Drink,0.3
Iced Cereal Milk Latte,Drink,0.3
Banana Bread,Food,0.3
Cereal Milk Only,Drink,0.3
Cold Brew,Drink,0.3
Filter,Drink,0.3
Toast With Spreads,Food,0.3
Dirty,Drink,0.3
Granola,Food,0.3
Muscle Maxi,Drink,0.3
Kouign aman,Food,0.3
Mocha,Drink,0.3
E&T,Drink,0.3
Housemade Cola,Drink,0.3
Brownie,Food,0.3
Cinnamon Roll,Food,0.3
Meat Me,Food,0.3
Madeleines (x 5),Food,0.3
Canele,Food,0.3
Piccolo,Drink,0.3
Large White,Drink,0.3
Kinda Ploughmanâ€™s,Food,0.3
Not an Egg,Food,0.3
Sugartown,Food,0.3
Cookie,Food,0.3
Icecream sw,Food,0.3
Fig toast,Food,0.3
Affogato,Food,0.3
Breathe Candle,Merchandise,0.3
Seek Candle,Merchandise,0.3
Gaze Candle,Merchandise,0.3
Ride Candle,Merchandise,0.3
Run Candle,Merchandise,0.3
Soar Candle,Merchandise,0.3
Chicken,Food,0.3
Cornbread,,0.3
Croissant,Food,0.3
Ramona Lemon,Drink,0.3
Ramona Grapefruit,Drink,0.3
Kombucha,Drink,0.3
French toast,Food,0.3
Maxi Muffin,,0.3
French Toast,Food,0.3
Mulled Wine Cake,Food,0.3
Mince Pie,Food,0.3
Extra Toast,Food,0.3
Peppermint Mocha,Drink,0.3
Gingerbread latte,Drink,0.3
